,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"R P C INC",MAR,RES,RES,"Barclays Capital Inc.","NYSE","N",RES,
"RACKSPACE HOSTING",MAR,RAX,RAX,"Morgan Stanley & Co. LLC","NYSE","N",RAX,
"RADIAN GROUP INC",FEB,RDN,RDN,"Susquehanna Securities","NYSE","N",RDN,
"RADIUS HEALTH CMN",JAN,RDUS,RDUS,"Morgan Stanley & Co. LLC","NASDAQ","N",RDUS,
"RADNET INC",MAR,RDNT,RDNT,"Susquehanna Securities","NASDAQ","N",RDNT,
"RADWARE LTD.",MAR,RDWR,RDWR,"Citadel Securities LLC","NASDAQ","N",RDWR,
"RAIT FINANCIAL TRUST",JAN,RAS,RAS,"Susquehanna Securities","NYSE","N",RAS,
"RALPH LAUREN CP",JAN,RL,RL,"Citadel Securities LLC","NYSE","N",RL,
"RAMBUS INC.",FEB,RMBS,RMBS,"Citadel Securities LLC","NASDAQ","N",RMBS,
"RAMCO GERS PROP",MAR,RPT,RPT,"Susquehanna Securities","NYSE","N",RPT,
"RANDGOLD RES LTD",MAR,GOLD,GOLD,"Citadel Securities LLC","NASDAQ","N",GOLD,
"RANGE RES CORP",MAR,RRC,RRC,"Citigroup Derivatives Markets Inc.","NYSE","N",RRC,
"RANGER EQUITY BEAR",JAN,HDGE,HDGE,"Wolverine Trading, LLC","NYSE ARCA","N",HDGE,
"RAPTOR PHARMACEUTICA",FEB,RPTP,RPTP,"Susquehanna Securities","NASDAQ","N",RPTP,
"RAVE RESTAURANT GRP",JAN,RAVE,RAVE,"Citadel Securities LLC","NASDAQ","N",RAVE,
"RAVEN INDUSTRIES INC",FEB,RAVN,RAVN,"Susquehanna Securities","NASDAQ","N",RAVN,
"RAYMOND JAMES FIN CP",FEB,RJF,RJF,"Citadel Securities LLC","NYSE","N",RJF,
"RAYONIER ADVANCED MT",FEB,RYAM,RYAM,"Wolverine Trading, LLC","NYSE","N",RYAM,
"RAYONIER INC REIT",FEB,RYN,RYN,"Wolverine Trading, LLC","NYSE","N",RYN,
"RAYTHEON CO (NEW)",FEB,RTN,RTN,"Citadel Securities LLC","NYSE","N",RTN,
"RCI HOSPITALITY HOLD",FEB,RICK,RICK,"Susquehanna Securities","NASDAQ","N",RICK,
"RE/MAX HOLDINGS, INC",MAR,RMAX,RMAX,"Susquehanna Securities","NYSE","N",RMAX,
"REACHLOCAL, INC.",JAN,RLOC,RLOC,"Wolverine Trading, LLC","NASDAQ","N",RLOC,
"READING INTL CL A",JAN,RDI,RDI,"Group One Trading, L.P.","NASDAQ","N",RDI,
"REAL ESTATE SPDR FD",FEB,XLRE,XLRE,"Wolverine Trading, LLC","NYSE ARCA","N",XLRE,
"REALD INC.",FEB,RLD,RLD,"Citadel Securities LLC","NYSE","N",RLD,
"REALNETWORKS INC",FEB,RNWK,RNWK,"Wolverine Trading, LLC","NASDAQ","N",RNWK,
"REALOGY HOLDINGS CP",MAR,RLGY,RLGY,"Susquehanna Securities","NYSE","N",RLGY,
"REALPAGE, INC.",JAN,RP,RP,"Wolverine Trading, LLC","NASDAQ","N",RP,
"REALTY INCOME CP",MAR,O,O,"Citadel Securities LLC","NYSE","N",O,
"RED HAT INC",MAR,RHT,RHT,"Citadel Securities LLC","NYSE","N",RHT,
"RED LION HOTELS CP",JAN,RLH,RLH,"Wolverine Trading, LLC","NYSE","N",RLH,
"RED ROBIN GOURM",MAR,RRGB,RRGB,"Citadel Securities LLC","NASDAQ","N",RRGB,
"REDIFF.COM INDIA ADS",JAN,REDF,REDF,"Susquehanna Securities","NASDAQ","N",REDF,
"REDWOOD TR INC",JAN,RWT,RWT,"Susquehanna Securities","NYSE","N",RWT,
"REGAL BELOIT CP",FEB,RBC,RBC,"Morgan Stanley & Co. LLC","NYSE","N",RBC,
"REGAL ENTERTAINMENT",JAN,RGC,RGC,"Citadel Securities LLC","NYSE","N",RGC,
"REGENCY CENTERS CORP",JAN,REG,REG,"Susquehanna Securities","NYSE","N",REG,
"REGENERON PHARMACEUT",FEB,REGN,REGN,"Timber Hill LLC","NASDAQ","N",REGN,
"REGIONS FINANCIAL CP",FEB,RF,RF,"Citadel Securities LLC","NYSE","N",RF,
"REGIS CP",MAR,RGS,RGS,"Morgan Stanley & Co. LLC","NYSE","N",RGS,
"REGULUS THERAPEUTICS",FEB,RGLS,RGLS,"Group One Trading, L.P.","NASDAQ","N",RGLS,
"REINSURANCE GROUP",JAN,RGA,RGA,"Citadel Securities LLC","NYSE","N",RGA,
"REIS, INC",MAR,REIS,REIS,"Wolverine Trading, LLC","NASDAQ","N",REIS,
"RELIANCE STL & ALMN",MAR,RS,RS,"Citadel Securities LLC","NYSE","N",RS,
"RELYPSA, INC.",MAR,RLYP,RLYP,"Susquehanna Securities","NASDAQ","N",RLYP,
"RENAISSANCERE LTD",JAN,RNR,RNR,"Citadel Securities LLC","NYSE","N",RNR,
"RENASANT CORPORATION",MAR,RNST,RNST,"Susquehanna Securities","NASDAQ","N",RNST,
"RENESOLA LTD",JAN,SOL,SOL,"Group One Trading, L.P.","NYSE","N",SOL,
"RENEWABLE ENERGY",JAN,REGI,REGI,"Susquehanna Securities","NASDAQ","N",REGI,
"RENREN INC ADS",JAN,RENN,RENN,"Susquehanna Securities","NYSE","N",RENN,
"RENT-A-CENTER INC",MAR,RCII,RCII,"Morgan Stanley & Co. LLC","NASDAQ","N",RCII,
"RENTECH NITROGEN PRT",JAN,RNF,RNF,"Morgan Stanley & Co. LLC","NYSE","N",RNF,
"REPLIGEN CP",FEB,RGEN,RGEN,"Susquehanna Securities","NASDAQ","N",RGEN,
"REPROS THERAPEUTICS",FEB,RPRX,RPRX,"Citadel Securities LLC","NASDAQ","N",RPRX,
"REPUBLIC BANCORP INC",FEB,RBCAA,RBCAA,"Susquehanna Securities","NASDAQ","N",RBCAA,
"REPUBLIC SVCS INC",JAN,RSG,RSG,"Citadel Securities LLC","NYSE","N",RSG,
"RESEARCH FRONTIERS",MAR,REFR,REFR,"Citadel Securities LLC","NASDAQ","N",REFR,
"RESMED INC",JAN,RMD,RMD,"Citadel Securities LLC","NYSE","N",RMD,
"RESOLUTE ENERGY CORP",MAR,REN,REN,"Citadel Securities LLC","NYSE","N",REN,
"RESOLUTE FOREST PDS",JAN,RFP,RFP,"Wolverine Trading, LLC","NYSE","N",RFP,
"RESOURCE AMER CL A",MAR,REXI,REXI,"Susquehanna Securities","NASDAQ","N",REXI,
"RESOURCE CAP CORP",FEB,RSO,RSO,"Susquehanna Securities","NYSE","N",RSO,
"RESOURCES CONNECT",FEB,RECN,RECN,"Citadel Securities LLC","NASDAQ","N",RECN,
"RESTAURANT BRANDS",JAN,QSR,QSR,"Citadel Securities LLC","NYSE","N",QSR,
"RESTORATION HARDWARE",FEB,RH,RH,"Wolverine Trading, LLC","NYSE","N",RH,
"RETAIL OPP INVTS CP",JAN,ROIC,ROIC,"Citadel Securities LLC","NASDAQ","N",ROIC,
"RETAIL PPTS OF AMER",MAR,RPAI,RPAI,"Susquehanna Securities","NYSE","N",RPAI,
"RETAILMENOT, INC.",JAN,SALE,SALE,"Citadel Securities LLC","NASDAQ","N",SALE,
"RETROPHIN, INC. CMN",MAR,RTRX,RTRX,"Citadel Securities LLC","NASDAQ","N",RTRX,
"REVANCE THERAPEUTICS",JAN,RVNC,RVNC,"Susquehanna Securities","NASDAQ","N",RVNC,
"REVLON INC NEW",FEB,REV,REV,"Barclays Capital Inc.","NYSE","N",REV,
"REVOLUTION LGT TC",MAR,RVLT,RVLT,"Citadel Securities LLC","NASDAQ","N",RVLT,
"REX ENERGY CORPORATI",MAR,REXX,REXX,"Group One Trading, L.P.","NASDAQ","N",REXX,
"REXFORD INDUSTRIAL",JAN,REXR,REXR,"Susquehanna Securities","NYSE","N",REXR,
"REXNORD CORPORATION",FEB,RXN,RXN,"Susquehanna Securities","NYSE","N",RXN,
"REYNOLDS AMERICAN",FEB,RAI,RAI,"Timber Hill LLC","NYSE","N",RAI,
"RF INDUSTRIES LTD",JAN,RFIL,RFIL,"Wolverine Trading, LLC","NASDAQ","N",RFIL,
"RICE ENERGY INC.",JAN,RICE,RICE,"Wolverine Trading, LLC","NYSE","N",RICE,
"RICHARDSON ELECTRNCS",MAR,RELL,RELL,"Wolverine Trading, LLC","NASDAQ","N",RELL,
"RICHMONT MINES",FEB,RIC,RIC,"Citadel Securities LLC","NYSE MKT","N",RIC,
"RIGEL PHARMACEUTICAL",MAR,RIGL,RIGL,"Citadel Securities LLC","NASDAQ","N",RIGL,
"RIGNET, INC.",FEB,RNET,RNET,"Citadel Securities LLC","NASDAQ","N",RNET,
"RINGCENTRAL, INC.",JAN,RNG,RNG,"Citadel Securities LLC","NYSE","N",RNG,
"RIO TINTO PLC ADS",JAN,RIO,RIO,"Citigroup Derivatives Markets Inc.","NYSE","N",RIO,
"RITCHIE BROS AUCTION",MAR,RBA,RBA,"Susquehanna Securities","NYSE","N",RBA,
"RITE AID CP",JAN,RAD,RAD,"Wolverine Trading, LLC","NYSE","N",RAD,
"RIVERVIEW BANCORP",MAR,RVSB,RVSB,"Wolverine Trading, LLC","NASDAQ","N",RVSB,
"RLI CORP",MAR,RLI,RLI,"Wolverine Trading, LLC","NYSE","N",RLI,
"RLJ LODGING TRUST",FEB,RLJ,RLJ,"Susquehanna Securities","NYSE","N",RLJ,
"ROADRUNNER TRANSPORT",JAN,RRTS,RRTS,"Susquehanna Securities","NYSE","N",RRTS,
"ROBERT HALF INTL INC",MAR,RHI,RHI,"Citadel Securities LLC","NYSE","N",RHI,
"ROCKET FUEL INC.",JAN,FUEL,FUEL,"Citadel Securities LLC","NASDAQ","N",FUEL,
"ROCKWELL AUTOMAT INC",JAN,ROK,ROK,"Wolverine Trading, LLC","NYSE","N",ROK,
"ROCKWELL COLLINS INC",JAN,COL,COL,"Susquehanna Securities","NYSE","N",COL,
"ROCKWELL MEDICAL, IN",FEB,RMTI,RMTI,"Susquehanna Securities","NASDAQ","N",RMTI,
"ROGERS COMMUN CL B",JAN,RCI,RCI,"Wolverine Trading, LLC","NYSE","N",RCI,
"ROGERS CP",MAR,ROG,ROG,"Citadel Securities LLC","NYSE","N",ROG,
"ROLLINS INC",FEB,ROL,ROL,"Susquehanna Securities","NYSE","N",ROL,
"ROPER TECHNOLOGIES",FEB,ROP,ROP,"Citadel Securities LLC","NYSE","N",ROP,
"ROSE ROCK MIDSTREAM",JAN,RRMS,RRMS,"Wolverine Trading, LLC","NYSE","N",RRMS,
"ROSETTA GENOMICS LTD",JAN,ROSG,ROSG,"Susquehanna Securities","NASDAQ","N",ROSG,
"ROSETTA STONE, INC.",MAR,RST,RST,"Citadel Securities LLC","NYSE","N",RST,
"ROSS STORES, INC.",FEB,ROST,ROST,"Timber Hill LLC","NASDAQ","N",ROST,
"ROUSE PROPERTIES",MAR,RSE,RSE,"Susquehanna Securities","NYSE","N",RSE,
"ROVI CORP CMN",JAN,ROVI,ROVI,"Citadel Securities LLC","NASDAQ","N",ROVI,
"ROWAN COS PLC",JAN,RDC,RDC,"Citadel Securities LLC","NYSE","N",RDC,
"ROYAL BANK ADS NEW",FEB,RBS,RBS,"Susquehanna Securities","NYSE","N",RBS,
"ROYAL BANK OF CANADA",JAN,RY,RY,"Citadel Securities LLC","NYSE","N",RY,
"ROYAL CARIBBEAN CR",MAR,RCL,RCL,"Timber Hill LLC","NYSE","N",RCL,
"ROYAL DUTCH SHELL",JAN,RDS.B,RDS.B,"Citadel Securities LLC","NYSE","N",RDS.B,
"ROYAL GOLD, INC.",JAN,RGLD,RGLD,"Susquehanna Securities","NASDAQ","N",RGLD,
"RPM INTL INC",FEB,RPM,RPM,"Susquehanna Securities","NYSE","N",RPM,
"RPX CORPORATION",FEB,RPXC,RPXC,"Group One Trading, L.P.","NASDAQ","N",RPXC,
"RR DONNELLEY SONS",MAR,RRD,RRD,"Timber Hill LLC","NASDAQ","N",RRD,
"RSP PERMIAN, INC.",MAR,RSPP,RSPP,"Citadel Securities LLC","NYSE","N",RSPP,
"RTI SURGICAL, INC.",JAN,RTIX,RTIX,"Wolverine Trading, LLC","NASDAQ","N",RTIX,
"RUBICON PROJECT, INC",MAR,RUBI,RUBI,"Morgan Stanley & Co. LLC","NYSE","N",RUBI,
"RUBICON TECHNOLOGY,",MAR,RBCN,RBCN,"Wolverine Trading, LLC","NASDAQ","N",RBCN,
"RUBY TUESDAY INC",JAN,RT,RT,"Susquehanna Securities","NYSE","N",RT,
"RUCKUS WIRELESS, INC",FEB,RKUS,RKUS,"Wolverine Trading, LLC","NYSE","N",RKUS,
"RUDOLPH TECH INC",FEB,RTEC,RTEC,"Citadel Securities LLC","NYSE","N",RTEC,
"RUSH ENTPR CL A",JAN,RUSHA,RUSHA,"Susquehanna Securities","NASDAQ","N",RUSHA,
"RUTH'S HOSPITALITY",FEB,RUTH,RUTH,"Citadel Securities LLC","NASDAQ","N",RUTH,
"RYANAIR HLDGS PLC",MAR,RYAAY,RYAAY,"Citadel Securities LLC","NASDAQ","N",RYAAY,
"RYDER SYSTEM INC",FEB,R,R,"Timber Hill LLC","NYSE","N",R,
"RYL DTCH SHL CL A",JAN,RDS.A,RDS.A,"Timber Hill LLC","NYSE","N",RDS.A,
"RYMAN HOSPITALITY PP",JAN,RHP,RHP,"Citadel Securities LLC","NYSE","N",RHP,
"S J W CP",MAR,SJW,SJW,"Wolverine Trading, LLC","NYSE","N",SJW,
"S&T BANCORP, INC.",JAN,STBA,STBA,"Wolverine Trading, LLC","NASDAQ","N",STBA,
"SABRA REIT",JAN,SBRA,SBRA,"Susquehanna Securities","NASDAQ","N",SBRA,
"SABRE CORPORATION CM",JAN,SABR,SABR,"Citadel Securities LLC","NASDAQ","N",SABR,
"SAFE BULKERS, INC",JAN,SB,SB,"Susquehanna Securities","NYSE","N",SB,
"SAFEGUARD SCIENTIFIC",JAN,SFE,SFE,"Morgan Stanley & Co. LLC","NYSE","N",SFE,
"SAFETY INS GROUP INC",FEB,SAFT,SAFT,"Wolverine Trading, LLC","NASDAQ","N",SAFT,
"SAGENT PHARM INC",JAN,SGNT,SGNT,"Susquehanna Securities","NASDAQ","N",SGNT,
"SAIA INC",MAR,SAIA,SAIA,"Susquehanna Securities","NASDAQ","N",SAIA,
"SALESFORCE.COM INC",FEB,CRM,CRM,"Timber Hill LLC","NYSE","N",CRM,
"SALLY BEAUTY HLDG",MAR,SBH,SBH,"Susquehanna Securities","NYSE","N",SBH,
"SAMSON OIL",JAN,SSN,SSN,"Susquehanna Securities","NYSE MKT","N",SSN,
"SAN JUAN BASIN ROYAL",JAN,SJT,SJT,"Citadel Securities LLC","NYSE","N",SJT,
"SANCHEZ ENERGY CORP",JAN,SN,SN,"Susquehanna Securities","NYSE","N",SN,
"SANDERSON FARMS IN",FEB,SAFM,SAFM,"Susquehanna Securities","NASDAQ","N",SAFM,
"SANDRIDGE MISSISSIPP",FEB,SDT,SDT,"Susquehanna Securities","NYSE","N",SDT,
"SANDRIDGE MSPIAN TRT",MAR,SDR,SDR,"Susquehanna Securities","NYSE","N",SDR,
"SANDRIDGE PERMIAN TR",JAN,PER,PER,"Susquehanna Securities","NYSE","N",PER,
"SANDSTORM GOLD LTD.",MAR,SAND,SAND,"Citadel Securities LLC","NYSE MKT","N",SAND,
"SANDY SPRING BANCORP",FEB,SASR,SASR,"Susquehanna Securities","NASDAQ","N",SASR,
"SANGAMO BIOSCIENCES",FEB,SGMO,SGMO,"Citadel Securities LLC","NASDAQ","N",SGMO,
"SANMINA CORP",JAN,SANM,SANM,"Citadel Securities LLC","NASDAQ","N",SANM,
"SANOFI ADR",MAR,SNY,SNY,"Timber Hill LLC","NYSE","N",SNY,
"SANTANDER CONSUMER",JAN,SC,SC,"Susquehanna Securities","NYSE","N",SC,
"SAP SE ADS",MAR,SAP,SAP,"Susquehanna Securities","NYSE","N",SAP,
"SAREPTA THERAPEUTICS",FEB,SRPT,SRPT,"Susquehanna Securities","NASDAQ","N",SRPT,
"SASOL LTD ADR",MAR,SSL,SSL,"Citadel Securities LLC","NYSE","N",SSL,
"SBA COMMUNICATIONS",MAR,SBAC,SBAC,"Morgan Stanley & Co. LLC","NASDAQ","N",SBAC,
"SCANA CP NEW",FEB,SCG,SCG,"Susquehanna Securities","NYSE","N",SCG,
"SCANSOURCE INC",MAR,SCSC,SCSC,"Susquehanna Securities","NASDAQ","N",SCSC,
"SCH US MID CAP ETF",JAN,SCHM,SCHM,"Susquehanna Securities","NYSE ARCA","N",SCHM,
"SCH US REIT ETF",JAN,SCHH,SCHH,"Susquehanna Securities","NYSE ARCA","N",SCHH,
"SCH US TIPS ETF",MAR,SCHP,SCHP,"Wolverine Trading, LLC","NYSE ARCA","N",SCHP,
"SCHLUMBERGER LTD",FEB,SLB,SLB,"Citadel Securities LLC","NYSE","N",SLB,
"SCHNITZER STEEL A",FEB,SCHN,SCHN,"Citadel Securities LLC","NASDAQ","N",SCHN,
"SCHOLASTIC CP",MAR,SCHL,SCHL,"Susquehanna Securities","NASDAQ","N",SCHL,
"SCHULMAN A INC",JAN,SHLM,SHLM,"Citadel Securities LLC","NASDAQ","N",SHLM,
"SCHWAB INTL SC ETF",MAR,SCHC,SCHC,"Susquehanna Securities","NYSE ARCA","N",SCHC,
"SCHWAB US BR MKT ETF",JAN,SCHB,SCHB,"Susquehanna Securities","NYSE ARCA","N",SCHB,
"SCHWAB US DIVD EQTY",JAN,SCHD,SCHD,"Susquehanna Securities","NYSE ARCA","N",SCHD,
"SCHWAB US LC ETF",FEB,SCHX,SCHX,"Susquehanna Securities","NYSE ARCA","N",SCHX,
"SCHWAB US LC GRO ETF",JAN,SCHG,SCHG,"Wolverine Trading, LLC","NYSE ARCA","N",SCHG,
"SCHWAB US LC VAL ETF",MAR,SCHV,SCHV,"Susquehanna Securities","NYSE ARCA","N",SCHV,
"SCHWAB US SC ETF",JAN,SCHA,SCHA,"Susquehanna Securities","NYSE ARCA","N",SCHA,
"SCHWEITZER MAUDIT",MAR,SWM,SWM,"Citadel Securities LLC","NYSE","N",SWM,
"SCICLONE PHARMACEUT",JAN,SCLN,SCLN,"Susquehanna Securities","NASDAQ","N",SCLN,
"SCIENTIFIC GAMES",JAN,SGMS,SGMS,"Citadel Securities LLC","NASDAQ","N",SGMS,
"SCIQUEST, INC.",FEB,SQI,SQI,"Susquehanna Securities","NASDAQ","N",SQI,
"SCORPIO BULKERS INC.",MAR,SALT,SALT,"Susquehanna Securities","NYSE","N",SALT,
"SCORPIO TANKERS INC.",JAN,STNG,STNG,"Susquehanna Securities","NYSE","N",STNG,
"SCOTTS MIRACLE-GR CO",MAR,SMG,SMG,"Citadel Securities LLC","NYSE","N",SMG,
"SCRIPPS NTWRKS INT A",MAR,SNI,SNI,"Citadel Securities LLC","NASDAQ","N",SNI,
"SEA CHANGE INTL IN",JAN,SEAC,SEAC,"Citadel Securities LLC","NASDAQ","N",SEAC,
"SEABRIDGE GOLD INC",FEB,SA,SA,"Citadel Securities LLC","NYSE","N",SA,
"SEACOR HOLDINGS INC",JAN,CKH,CKH,"Susquehanna Securities","NYSE","N",CKH,
"SEADRILL LTD",JAN,SDRL,SDRL,"Susquehanna Securities","NYSE","N",SDRL,
"SEADRILL PARTNERS",MAR,SDLP,SDLP,"Susquehanna Securities","NYSE","N",SDLP,
"SEAGATE TECH ORD SHS",MAR,STX,STX,"Citadel Securities LLC","NASDAQ","N",STX,
"SEALED AIR CP NEW",JAN,SEE,SEE,"Citadel Securities LLC","NYSE","N",SEE,
"SEARS HLDGS CORP",MAR,SHLD,SHLD,"Citadel Securities LLC","NASDAQ","N",SHLD,
"SEARS HOMETOWN",JAN,SHOS,SHOS,"Susquehanna Securities","NASDAQ","N",SHOS,
"SEASPAN CORPORATION",FEB,SSW,SSW,"Group One Trading, L.P.","NYSE","N",SSW,
"SEATTLE GENETICS INC",MAR,SGEN,SGEN,"Group One Trading, L.P.","NASDAQ","N",SGEN,
"SEAWORLD ENTERTAINME",MAR,SEAS,SEAS,"Citadel Securities LLC","NYSE","N",SEAS,
"SECOND SIGHT CMN",JAN,EYES,EYES,"Group One Trading, L.P.","NASDAQ","N",EYES,
"SEI INVESTMENTS CO",MAR,SEIC,SEIC,"Citadel Securities LLC","NASDAQ","N",SEIC,
"SELECT COMFORT CP",MAR,SCSS,SCSS,"Citadel Securities LLC","NASDAQ","N",SCSS,
"SELECT INCOME REIT",FEB,SIR,SIR,"Wolverine Trading, LLC","NYSE","N",SIR,
"SELECT INCOME REIT(ADJ)",,SIR1,SIR1,"Wolverine Trading, LLC","NYSE","N",SIR,"RMR"
"SELECT MEDICAL",MAR,SEM,SEM,"Wolverine Trading, LLC","NYSE","N",SEM,
"SELECTIVE INS GROUP",MAR,SIGI,SIGI,"Susquehanna Securities","NASDAQ","N",SIGI,
"SEMGROUP CORP",JAN,SEMG,SEMG,"Susquehanna Securities","NYSE","N",SEMG,
"SEMICONDUCTOR INDEX",JAN,SOX,SOX,"Susquehanna Securities","PHLX","Y",SOX,
"SEMPRA ENERGY",JAN,SRE,SRE,"Susquehanna Securities","NYSE","N",SRE,
"SEMTECH CORP",MAR,SMTC,SMTC,"Citadel Securities LLC","NASDAQ","N",SMTC,
"SENIOR HSG SBI",MAR,SNH,SNH,"Susquehanna Securities","NYSE","N",SNH,
"SENIOR HSG SBI(ADJ)",,SNH1,SNH1,"Susquehanna Securities","NYSE","N",SNH,"RMR"
"SENOMYX, INC.",JAN,SNMX,SNMX,"Citadel Securities LLC","NASDAQ","N",SNMX,
"SENSATA TECH HOLDING",MAR,ST,ST,"Susquehanna Securities","NYSE","N",ST,
"SENSIENT TECH CORP",JAN,SXT,SXT,"Citadel Securities LLC","NYSE","N",SXT,
"SEQUENOM INC",MAR,SQNM,SQNM,"Citadel Securities LLC","NASDAQ","N",SQNM,
"SERVICE CP INTL",MAR,SCI,SCI,"Wolverine Trading, LLC","NYSE","N",SCI,
"SERVICEMASTER GLOBAL",FEB,SERV,SERV,"Citadel Securities LLC","NYSE","N",SERV,
"SERVICENOW, INC.",FEB,NOW,NOW,"Citadel Securities LLC","NYSE","N",NOW,
"SERVICESRCE INTL INC",JAN,SREV,SREV,"Susquehanna Securities","NASDAQ","N",SREV,
"SEVENTY SEVEN ENERGY",JAN,SSE,SSE,"Citadel Securities LLC","NYSE","N",SSE,
"SHAKE SHACK, INC.",JAN,SHAK,SHAK,"Timber Hill LLC","NYSE","N",SHAK,
"SHAW COMM CL B NV",JAN,SJR,SJR,"Citadel Securities LLC","NYSE","N",SJR,
"SHELL MIDSTREAM PRTN",JAN,SHLX,SHLX,"Susquehanna Securities","NYSE","N",SHLX,
"SHENANDOAH TELECOM",JAN,SHEN,SHEN,"Wolverine Trading, LLC","NASDAQ","N",SHEN,
"SHERWIN WILLIAMS CO",MAR,SHW,SHW,"Citadel Securities LLC","NYSE","N",SHW,
"SHIP FINANCE INTL",FEB,SFL,SFL,"Timber Hill LLC","NYSE","N",SFL,
"SHIRE PLC ADS",JAN,SHPG,SHPG,"Susquehanna Securities","NASDAQ","N",SHPG,
"SHOE CARNIVAL INC",MAR,SCVL,SCVL,"Susquehanna Securities","NASDAQ","N",SCVL,
"SHOPIFY INC.",JAN,SHOP,SHOP,"Wolverine Trading, LLC","NYSE","N",SHOP,
"SHORETEL, INC.",JAN,SHOR,SHOR,"Wolverine Trading, LLC","NASDAQ","N",SHOR,
"SHORT FINLS PROSHARE",,SEF,SEF,"Citadel Securities LLC","NYSE ARCA","N",SEF,
"SHRT MC400 PROSHARES",MAR,MYY,MYY,"Wolverine Trading, LLC","NYSE ARCA","N",MYY,
"SHRT S&P500 PROSHRS",FEB,SH,SH,"Citadel Securities LLC","NYSE ARCA","N",SH,
"SHUTTERFLY, INC.",MAR,SFLY,SFLY,"Citadel Securities LLC","NASDAQ","N",SFLY,
"SHUTTERSTOCK, INC.",FEB,SSTK,SSTK,"Susquehanna Securities","NYSE","N",SSTK,
"SIBANYE GOLD LTD",JAN,SBGL,SBGL,"Timber Hill LLC","NYSE","N",SBGL,
"SIERRA WIRELESS IN",MAR,SWIR,SWIR,"Group One Trading, L.P.","NASDAQ","N",SWIR,
"SIFY TECHS LTD ADS",JAN,SIFY,SIFY,"Citadel Securities LLC","NASDAQ","N",SIFY,
"SIG OIL EXP & PROD",,EPX,EPX,"Susquehanna Securities","PHLX","Y",EPX,
"SIGMA DESIGNS INC",JAN,SIGM,SIGM,"Group One Trading, L.P.","NASDAQ","N",SIGM,
"SIGNATURE BANK",MAR,SBNY,SBNY,"Wolverine Trading, LLC","NASDAQ","N",SBNY,
"SIGNET JEWELERS LTD",JAN,SIG,SIG,"Susquehanna Securities","NYSE","N",SIG,
"SILGAN HOLDINGS",FEB,SLGN,SLGN,"Wolverine Trading, LLC","NASDAQ","N",SLGN,
"SILICON GRAPHIC INTL",MAR,SGI,SGI,"Citadel Securities LLC","NASDAQ","N",SGI,
"SILICON LABS INC",JAN,SLAB,SLAB,"Susquehanna Securities","NASDAQ","N",SLAB,
"SILICON MOTION TECHN",MAR,SIMO,SIMO,"Citadel Securities LLC","NASDAQ","N",SIMO,
"SILICONWARE PR ADS",MAR,SPIL,SPIL,"Susquehanna Securities","NASDAQ","N",SPIL,
"SILVER BAY REALTY TR",MAR,SBY,SBY,"Morgan Stanley & Co. LLC","NYSE","N",SBY,
"SILVER MINERS ETF",JAN,SIL,SIL,"Citadel Securities LLC","NYSE ARCA","N",SIL,
"SILVER SPRING NETWRK",FEB,SSNI,SSNI,"Wolverine Trading, LLC","NYSE","N",SSNI,
"SILVER STAND RES",MAR,SSRI,SSRI,"Citadel Securities LLC","NASDAQ","N",SSRI,
"SILVER WHEATON CORP",MAR,SLW,SLW,"Citigroup Derivatives Markets Inc.","NYSE","N",SLW,
"SIMON PPTY GRP INC",JAN,SPG,SPG,"Citadel Securities LLC","NYSE","N",SPG,
"SIMPSON MFG CO INC",MAR,SSD,SSD,"Citadel Securities LLC","NYSE","N",SSD,
"SINA CORPORATION",MAR,SINA,SINA,"Susquehanna Securities","NASDAQ","N",SINA,
"SINCLAIR BRDCST A",MAR,SBGI,SBGI,"Susquehanna Securities","NASDAQ","N",SBGI,
"SINOVAC BIOTECH LTD",JAN,SVA,SVA,"Citadel Securities LLC","NASDAQ","N",SVA,
"SIRIUS XM HOLDINGS I",MAR,SIRI,SIRI,"Citadel Securities LLC","NASDAQ","N",SIRI,
"SIX FLAGS ENTMNT CP",MAR,SIX,SIX,"Morgan Stanley & Co. LLC","NYSE","N",SIX,
"SIZMEK INC COMMON ST",MAR,SZMK,SZMK,"Citadel Securities LLC","NASDAQ","N",SZMK,
"SK TELECOM CO., LTD.",MAR,SKM,SKM,"Susquehanna Securities","NYSE","N",SKM,
"SKECHERS USA INC",JAN,SKX,SKX,"Citadel Securities LLC","NYSE","N",SKX,
"SKULLCANDY, INC.",MAR,SKUL,SKUL,"Citadel Securities LLC","NASDAQ","N",SKUL,
"SKY-MOBI LIMITED",JAN,MOBI,MOBI,"Susquehanna Securities","NASDAQ","N",MOBI,
"SKYWEST INC",JAN,SKYW,SKYW,"Citadel Securities LLC","NASDAQ","N",SKYW,
"SKYWORKS SOLUTIONS",FEB,SWKS,SWKS,"Timber Hill LLC","NASDAQ","N",SWKS,
"SL GREEN REALTY CP",FEB,SLG,SLG,"Citadel Securities LLC","NYSE","N",SLG,
"SLM CORPORATION",JAN,SLM,SLM,"Citadel Securities LLC","NASDAQ","N",SLM,
"SM ENERGY COMPANY",FEB,SM,SM,"Group One Trading, L.P.","NYSE","N",SM,
"SMALL CAP BEAR 3X",JAN,TZA,TZA,"Citadel Securities LLC","NYSE ARCA","N",TZA,
