,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"AMAZON.COM INC",JAN,AMZN,AMZN,"Citadel Securities LLC","NASDAQ","N",AMZN,
"AMBAC FINANCIAL GRP",FEB,AMBC,AMBC,"Citadel Securities LLC","NASDAQ","N",AMBC,
"AMBARELLA, INC.",FEB,AMBA,AMBA,"Susquehanna Securities","NASDAQ","N",AMBA,
"AMBER ROAD, INC.",JAN,AMBR,AMBR,"Wolverine Trading, LLC","NYSE","N",AMBR,
"AMBEV S.A.",JAN,ABEV,ABEV,"Wolverine Trading, LLC","NYSE","N",ABEV,
"AMC ENTERTAINMENT HL",MAR,AMC,AMC,"Wolverine Trading, LLC","NYSE","N",AMC,
"AMC NETWORKS CL A",MAR,AMCX,AMCX,"Wolverine Trading, LLC","NASDAQ","N",AMCX,
"AMDOCS LTD ORD",JAN,DOX,DOX,"Susquehanna Securities","NASDAQ","N",DOX,
"AMEDISYS INC",MAR,AMED,AMED,"Citadel Securities LLC","NASDAQ","N",AMED,
"AMER AXLE&MFG HLDS",JAN,AXL,AXL,"Citadel Securities LLC","NYSE","N",AXL,
"AMER CAPITAL LTD",FEB,ACAS,ACAS,"Citadel Securities LLC","NASDAQ","N",ACAS,
"AMER EAGLE OUTFITTER",FEB,AEO,AEO,"Timber Hill LLC","NYSE","N",AEO,
"AMER ELECTRIC POW CO",FEB,AEP,AEP,"Citadel Securities LLC","NYSE","N",AEP,
"AMER EQ INV LIFE HLD",FEB,AEL,AEL,"Citadel Securities LLC","NYSE","N",AEL,
"AMER EXPRESS INC",JAN,AXP,AXP,"Timber Hill LLC","NYSE","N",AXP,
"AMER FIN GRP HLD",MAR,AFG,AFG,"Susquehanna Securities","NYSE","N",AFG,
"AMER FIRST MF INV",FEB,ATAX,ATAX,"Susquehanna Securities","NASDAQ","N",ATAX,
"AMER INTL GROUP NEW",FEB,AIG,AIG,"Citadel Securities LLC","NYSE","N",AIG,
"AMER NATL INSURANCE",MAR,ANAT,ANAT,"Wolverine Trading, LLC","NASDAQ","N",ANAT,
"AMER SOFTWARE INC",JAN,AMSWA,AMSWA,"Susquehanna Securities","NASDAQ","N",AMSWA,
"AMER ST WATER",MAR,AWR,AWR,"Susquehanna Securities","NYSE","N",AWR,
"AMER SUPERCONDUCTOR",JAN,AMSC,AMSC,"Citadel Securities LLC","NASDAQ","N",AMSC,
"AMER TOWER CP",JAN,AMT,AMT,"Timber Hill LLC","NYSE","N",AMT,
"AMER VANGUARD CP",FEB,AVD,AVD,"Susquehanna Securities","NYSE","N",AVD,
"AMEREN CP",MAR,AEE,AEE,"Citadel Securities LLC","NYSE","N",AEE,
"AMERESCO, INC.",JAN,AMRC,AMRC,"Wolverine Trading, LLC","NYSE","N",AMRC,
"AMERICA MOVIL, S.A.B",FEB,AMX,AMX,"Timber Hill LLC","NYSE","N",AMX,
"AMERICAN AIRLINES GP",FEB,AAL,AAL,"Susquehanna Securities","NASDAQ","N",AAL,
"AMERICAN ASSETS TRST",JAN,AAT,AAT,"Wolverine Trading, LLC","NYSE","Y",AAT,
"AMERICAN CAMPUS COMM",MAR,ACC,ACC,"Susquehanna Securities","NYSE","N",ACC,
"AMERICAN CAP MTG INV",MAR,MTGE,MTGE,"Wolverine Trading, LLC","NASDAQ","N",MTGE,
"AMERICAN CAPITAL AGE",MAR,AGNC,AGNC,"Susquehanna Securities","NASDAQ","N",AGNC,
"AMERICAN CAPITAL SEN",MAR,ACSF,ACSF,"Wolverine Trading, LLC","NASDAQ","N",ACSF,
"AMERICAN HOMES 4 RNT",MAR,AMH,AMH,"Group One Trading, L.P.","NYSE","N",AMH,
"AMERICAN MIDSTREAM",JAN,AMID,AMID,"Wolverine Trading, LLC","NYSE","N",AMID,
"AMERICAN NATL BKSH",MAR,AMNB,AMNB,"Wolverine Trading, LLC","NASDAQ","N",AMNB,
"AMERICAN PUB. EDU.",MAR,APEI,APEI,"Citadel Securities LLC","NASDAQ","N",APEI,
"AMERICAN RAILCAR IND",MAR,ARII,ARII,"Susquehanna Securities","NASDAQ","N",ARII,
"AMERICAN WTR WRKS CO",MAR,AWK,AWK,"Citadel Securities LLC","NYSE","N",AWK,
"AMERIGAS PARTNERS LP",FEB,APU,APU,"Susquehanna Securities","NYSE","N",APU,
"AMERIPRISE FINANCIAL",MAR,AMP,AMP,"Citadel Securities LLC","NYSE","N",AMP,
"AMERIS BANCORP",JAN,ABCB,ABCB,"Wolverine Trading, LLC","NASDAQ","N",ABCB,
"AMERISAFE INC",JAN,AMSF,AMSF,"Wolverine Trading, LLC","NASDAQ","Y",AMSF,
"AMERISERV FINANCIAL",MAR,ASRV,ASRV,"Wolverine Trading, LLC","NASDAQ","N",ASRV,
"AMERISOURCEBERGEN CP",FEB,ABC,ABC,"Timber Hill LLC","NYSE","N",ABC,
"AMETEK INC",MAR,AME,AME,"Citadel Securities LLC","NYSE","N",AME,
"AMGEN",JAN,AMGN,AMGN,"Citadel Securities LLC","NASDAQ","N",AMGN,
"AMICUS THERAPEUTICS",JAN,FOLD,FOLD,"Citadel Securities LLC","NASDAQ","N",FOLD,
"AMIRA NATURE FOODS",FEB,ANFI,ANFI,"Susquehanna Securities","NYSE","N",ANFI,
"AMKOR TECHNOLOGY",MAR,AMKR,AMKR,"Citadel Securities LLC","NASDAQ","N",AMKR,
"AMN HEALTHCARE SVCS",JAN,AHS,AHS,"Citadel Securities LLC","NYSE","N",AHS,
"AMPHENOL CP",JAN,APH,APH,"Timber Hill LLC","NYSE","N",APH,
"AMPIO PHARMACEUTICAL",JAN,AMPE,AMPE,"Citadel Securities LLC","NYSE MKT","N",AMPE,
"AMPIO PHARMACEUTICAL(ADJ)",,AMPE1,AMPE1,"Citadel Securities LLC","NYSE MKT","N",AMPE,"AYTU"
"AMSURG CORP COM",MAR,AMSG,AMSG,"Susquehanna Securities","NASDAQ","N",AMSG,
"AMTECH SYSTEMS INC",FEB,ASYS,ASYS,"Susquehanna Securities","NASDAQ","N",ASYS,
"AMTRUST FINANCIAL",MAR,AFSI,AFSI,"Citadel Securities LLC","NASDAQ","N",AFSI,
"AMYRIS, INC.",MAR,AMRS,AMRS,"Susquehanna Securities","NASDAQ","N",AMRS,
"ANACOR PHARMACEUTICA",FEB,ANAC,ANAC,"Susquehanna Securities","NASDAQ","N",ANAC,
"ANADARKO PETROLEUM",FEB,APC,APC,"Timber Hill LLC","NYSE","N",APC,
"ANALOG DEVICES CMN",MAR,ADI,ADI,"Citadel Securities LLC","NASDAQ","N",ADI,
"ANALOGIC CP",JAN,ALOG,ALOG,"Susquehanna Securities","NASDAQ","N",ALOG,
"ANAVEX LF SC CM",JAN,AVXL,AVXL,"Citadel Securities LLC","NASDAQ","N",AVXL,
"ANDERSONS INC (THE",MAR,ANDE,ANDE,"Citadel Securities LLC","NASDAQ","N",ANDE,
"ANGIE'S LIST, INC.",FEB,ANGI,ANGI,"Susquehanna Securities","NASDAQ","N",ANGI,
"ANGIODYNAMICS INC",JAN,ANGO,ANGO,"Susquehanna Securities","NASDAQ","N",ANGO,
"ANGLOGOLD ASHANTI LT",JAN,AU,AU,"Citadel Securities LLC","NYSE","N",AU,
"ANH BSCH INB SA ADR",MAR,BUD,BUD,"Citadel Securities LLC","NYSE","N",BUD,
"ANI  PHARMA INC",JAN,ANIP,ANIP,"Susquehanna Securities","NASDAQ","N",ANIP,
"ANIKA THERAPEUTICS",MAR,ANIK,ANIK,"Wolverine Trading, LLC","NASDAQ","N",ANIK,
"ANIXTER INTL INC",FEB,AXE,AXE,"Wolverine Trading, LLC","NYSE","N",AXE,
"ANNALY CAPITAL MANAG",JAN,NLY,NLY,"Timber Hill LLC","NYSE","N",NLY,
"ANSYS INC",JAN,ANSS,ANSS,"Citadel Securities LLC","NASDAQ","N",ANSS,
"ANTARES PHARMA CMN",FEB,ATRS,ATRS,"Susquehanna Securities","NASDAQ","N",ATRS,
"ANTERO MIDSTREAM LP",MAR,AM,AM,"Wolverine Trading, LLC","NYSE","N",AM,
"ANTERO RESOURCES CP",FEB,AR,AR,"Susquehanna Securities","NYSE","N",AR,
"ANTHEM, INC.",MAR,ANTM,ANTM,"Timber Hill LLC","NYSE","N",ANTM,
"ANTHERA PHARMACEUTIC",JAN,ANTH,ANTH,"Susquehanna Securities","NASDAQ","N",ANTH,
"ANWORTH MTG ASSET CP",JAN,ANH,ANH,"Wolverine Trading, LLC","NYSE","N",ANH,
"AON PLC",JAN,AON,AON,"Timber Hill LLC","NYSE","N",AON,
"APACHE CP",JAN,APA,APA,"Citadel Securities LLC","NYSE","N",APA,
"APOGEE ENTRPR INC",FEB,APOG,APOG,"Citadel Securities LLC","NASDAQ","N",APOG,
"APOLLO COMMERCIAL RE",FEB,ARI,ARI,"Wolverine Trading, LLC","NYSE","N",ARI,
"APOLLO ED GRP A",FEB,APOL,APOL,"Citigroup Derivatives Markets Inc.","NASDAQ","N",APOL,
"APOLLO GLOBAL MGMNT",MAR,APO,APO,"Barclays Capital Inc.","NYSE","N",APO,
"APOLLO INVESTMENT CO",MAR,AINV,AINV,"Group One Trading, L.P.","NASDAQ","N",AINV,
"APOLLO RESIDENTIAL",FEB,AMTG,AMTG,"Susquehanna Securities","NYSE","N",AMTG,
"APPLE INC.",JAN,AAPL,AAPL,"Citigroup Derivatives Markets Inc.","NASDAQ","N",AAPL,
"APPLIED DNA SCNS CMN",MAR,APDN,APDN,"Citadel Securities LLC","NASDAQ","N",APDN,
"APPLIED IDNS TECH",FEB,AIT,AIT,"Citadel Securities LLC","NYSE","N",AIT,
"APPLIED MATERIALS",JAN,AMAT,AMAT,"Timber Hill LLC","NASDAQ","N",AMAT,
"APPLIED MICRO CRCTS",FEB,AMCC,AMCC,"Group One Trading, L.P.","NASDAQ","N",AMCC,
"APPLIED OPTOELECT CM",MAR,AAOI,AAOI,"Morgan Stanley & Co. LLC","NASDAQ","N",AAOI,
"APPROACH RES. INC.",JAN,AREX,AREX,"Wolverine Trading, LLC","NASDAQ","N",AREX,
"APRICUS BIOSC INC",FEB,APRI,APRI,"Citadel Securities LLC","NASDAQ","N",APRI,
"APT INV & MNGMNT CO",MAR,AIV,AIV,"Susquehanna Securities","NYSE","N",AIV,
"APTAR GROUP INC",FEB,ATR,ATR,"Citadel Securities LLC","NYSE","N",ATR,
